date,name,favorite,breakfast,prepare,body,happy,,,,
4-18-2015_14:50:47,Olier,STICKER,egg,ANYTHING,hAIR,many THING,,,,
4-18-2015_14:54:52,ANDY,CURRY,SANDWICH,BUY,MY FACE,GIRL,,,,
4-18-2015_14:57:42,CHI,DOLL,PANCAKE,DIY,FACE,TRAVEL,,,,
4-18-2015_15:0:35,VIOLET,DESSERT,EGGROLLS,BUY IT,HAIR,BEING DRUNK,,,,
4-18-2015_15:2:36,YUCHIAO,CHEESE,BREAD,BUY,MY  FACE,TRAVEL BY MYSELF,,,,
4-18-2015_15:4:54,DANGER DAYS,TOYS,NOTHING,BUY,FACE,NEW JOB,,,,
4-18-2015_15:7:9,TAYLOR,BARBIE,EGG AND HAM,BUY,EYES,ALL PASS,,,,
4-18-2015_15:8:56,SUSAN,BOY,TOAST,BUY,HAIR,NEW FRIEND,,,,
4-18-2015_15:10:59,HUA,DOG,PANCAKE,MY HASP,BRAND,MOVIES,,,,
4-18-2015_15:12:51,ZOE,FOOD,COFFEE,BY MYSELF,ARM,CAKE,,,,
4-18-2015_15:14:39,JULIE,TV,TOAST,HANDMADE,EYES,EATING,,,,
4-18-2015_15:18:3,BEN,GAMEBOY,NOTHING,BUY,NIPPLE,MAKING DINNER,,,,
4-18-2015_15:20:5,YUTING,NOVEL,NOTHING,BUY,EYES,PERFORMANCE,,,,
4-18-2015_15:22:45,ANNA,SINGING,TOAST,STEAM,LIPS,SWIMMING,,,,
4-18-2015_15:28:47,SUYING,ART,BREAD,STEAM,EYE,MOUNTAINEERING,,,,
4-18-2015_15:32:14,TSUNGMIN,HISTRY,STEAM RICE,BBUY,EYE,SUPERMARKET,,,,
4-18-2015_15:35:2,Rosemary,My melody,coffee bread,buy it,complexion,travel,,,,
4-18-2015_15:39:44,kyle,piano,milk,buy,arm,,,,,
4-18-2015_15:44:7,zhuang,toro,sandwich,by myself,brain,birthday,,,,
4-18-2015_15:47:8,Li  ,juice,egg roll,buy it,lips,tra,,,,
4-18-2015_15:50:8,Hank Liu,Comic,Toast,My mom prepares for me,Err....,Go to Japan,,,,
4-18-2015_15:54:41,chris,cartoon,sandwich,buy for it,eyes,holiday,,,,
4-18-2015_15:57:30,weiting,candy,no,buy,eyes,birthday,,,,
4-18-2015_15:59:36,chung ju mou,food,sandwhich,buy,eyes,red envelope,,,,
4-18-2015_16:7:1,Philip,my toy rabbit,yogurt,i put jam in it,my legs,i laughed and ran at the beach,,,,
4-18-2015_16:9:22,cooper,rober,bread,put in oven,hand,ride moto,,,,
4-18-2015_16:18:8,wuming,dog,porriage,cook it,Head,EVERYDAY HAPPY,,,,
4-18-2015_16:22:14,Pan Mei Hsou,beautiful flower,Porrage,cook it,nothing,WITH family,,,,
4-18-2015_16:31:17,moon,dad,bread,mom will do it,eyes,i was a bacpacker,,,,
4-18-2015_16:33:59,michelle,candy,eggs,cook,eyes,sleep,,,,
4-18-2015_16:37:25,k,candy,secret,not your business,hands,been told a secret,,,,
4-18-2015_16:39:13,alberber,pocket money,mcdonald,with money,brain,steak,,,,
4-18-2015_16:43:32,lit,pc,bread,diy,all,stamp,,,,
4-18-2015_16:47:16,angela,tv,toast,buy it,eye,ipad,,,,
4-18-2015_16:50:23,tracy,chocolate,omelet,buy in the so,my small eyes,watching ballgames,,,,
